,N,CA,C,O,GCA,CB,KNZ,KCD,DOD,RNH,NND,RNE,SOG,HNE,YCZ,FCZ,LCD,CSG
N,-0.724,-0.903,-0.722,-0.322,-0.331,-0.603,1.147,0.937,0.752,0.502,0.405,0.495,-0.116,-0.092,-0.412,-0.499,-1.005,-2.06
CA,,-0.842,-0.85,-0.332,-0.365,-0.531,1.139,0.918,0.852,0.452,0.445,0.436,-0.044,-0.165,-0.539,-0.59,-1.123,-2.028
C,,,-0.704,-0.371,-0.308,-0.499,1.14,0.846,0.788,0.49,0.408,0.418,-0.045,-0.089,-0.415,-0.478,-0.963,-2.033
O,,,,-0.016,0.205,-0.059,1.414,1.075,1.152,0.831,0.758,0.649,0.383,0.241,-0.073,-0.166,-0.65,-1.65
GCA,,,,,0.182,-0.009,1.502,1.385,1.192,0.912,0.872,0.943,0.434,0.392,-0.062,-0.021,-0.342,-1.212
CB,,,,,,-0.469,1.31,1.01,0.859,0.671,0.591,0.565,0.122,0,-0.438,-0.533,-1.034,-1.8
KNZ,,,,,,,3.018,2.911,1.157,2.635,1.848,2.699,1.587,1.557,1.004,1.34,1.252,0.7
KCD,,,,,,,,2.811,0.989,2.439,1.622,2.525,1.361,1.277,0.685,0.938,0.814,0.411
DOD,,,,,,,,,-1.978,0.695,1.386,0.641,1.002,0.642,0.618,0.894,0.792,-0.029
RNH,,,,,,,,,,1.589,1.395,1.515,1.022,0.948,0.457,0.707,0.586,0.021
NND,,,,,,,,,,,1.3,1.283,0.931,0.829,0.484,0.633,0.389,-0.046
RNE,,,,,,,,,,,,1.309,0.921,0.777,0.265,0.484,0.274,-0.253
SOG,,,,,,,,,,,,,0.559,0.319,0.301,0.212,-0.155,-0.949
HNE,,,,,,,,,,,,,,-0.301,-0.159,-0.132,-0.338,-1.324
YCZ,,,,,,,,,,,,,,,-0.314,-0.478,-0.964,-1.41
FCZ,,,,,,,,,,,,,,,,-0.687,-1.24,-1.784
LCD,,,,,,,,,,,,,,,,,-1.873,-2.402
CSG,,,,,,,,,,,,,,,,,,-3.742
